Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
70;"Bjelovarsko-bilogorske vode d.o.o.";29831668155;"Dr. Ante Starčevića 8";43000;Bjelovar;"(+385 43) 221 902";"(+385 43) 221 914";www.bbv.hr;bjelovarsko-bilogorske.vode@bbz.hr;"Dragan Lučić";"(+385 43) 221 929";bjelovarsko-bilogorske.vode@bbz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2022-02-17 12:17:48"
71;"Boninovo d.o.o. za obavljanje pogrebnih usluga";74294668320;"Između tri crkve 1";20000;Dubrovnik;"(+385 20) 416 204";"(+385 20)  416 217";www.boninovo.hr;boninovo.doo@du.t-com.hr;"Štefi Ljubimir";"(+385 20) 416 216";boninovo.doo@du.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2021-02-15 11:05:31"
72;"Borovo d.d. proizvodnja i promet obuće, gumarskih i ostalih proizvoda";73002202488;"Dr. Ante Starčevića 2/D";32010;Vukovar;"(+385 32) 422 600";"(+385 32) 422 604";www.borovo.hr;info@borovo.hr;"Goran Bilić";"(+385 32) 373 226";goran.bilic@borovo.hr;"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2018-03-09 11:33:03"
73;"Bošana d.o.o. za turizam i usluge";47665065525;"Kralja Petra Svačića 26";23210;"Biograd na Moru";"(+385 23) 384 363";"(+385 23) 385 241";www.bosana.hr;krunoslav.pesic@bosana.hr;"Josipa Birkić";"(+385 23) 384 363";racunovodstvo@bosana.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2021-01-28 09:21:37"
74;"Brijuni rivijera d.o.o.";39582496872;"Marulićeva 1";52100;Pula;"(+385 52) 351 500";"(+385 52) 351 502";www.brijunirivijera.hr;info@brijunirivijera.hr;"Jerka Borzić Jurkić";"(+385 52) 351 503";jerka@brijunirivijera.hr;"Republika Hrvatska";"Trgovačka društva";Turizam;"2022-01-31 14:41:40"
75;"Brod-plin d.o.o.";93572453653;"Trg pobjede 5";35000;"Slavonski Brod";"(+385 35) 405 700";"(+385 35) 405 707";www.brod-plin.hr;info@brod-plin.hr;"Antonio Čarapina";"(+385 35) 405 716";acarapina@brod-plin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-07-16 13:00:20"
76;"Brod-Turist d.o.o.";63806058658;"Trg pobjede 30";35000;"Slavonski Brod";"(+385 35) 445 765";"(+385 35) 448 594";www.brod-turist.hr;mario.pejic@brod-turist.hr;"Mario Pejić";"(+385 99) 2099 320";mario.pejic@brod-turist.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Turizam;"2020-03-12 10:41:05"
77;"Brodarski institut d.o.o. u likvidaciji";34114418260;"Avenija Većeslava Holjevca 20";10020;Zagreb;"(+385 1) 6504 151";;www.hrbi.hr;brodinst@hrbi.hr;"Tomislav Orehovec";"(+385 1) 2442 454";tomislav.orehovec@ovks.hr;"Republika Hrvatska";"Trgovačka društva";"Odgoj, obrazovanje, znanost i sport";"2022-02-23 15:44:43"
78;"Brodsko-posavska županija";27400987949;"Kralja Petra Krešimira IV. 1";35000;"Slavonski Brod";"(+385 35) 216 111; (+385 35) 216 252";"(+385 35) 443 003; (+385 35) 216 249";www.bpz.hr;informacije@bpz.hr;"Izabela Belić";"(+385 35) 216 518";informacije@bpz.hr;"Republika Hrvatska";"Jedinica lokalne ili područne (regionalne) samouprave";"Javna uprava i politički sustav";
79;"Bucavac d.o.o.";86484630480;"Svetog Josipa 7";22202;Primošten;"(+385 22) 571 011";"(+385 22) 571 011";www.bucavac.hr;uprava@bucavac.hr;"Anita Burazer";"(+385 22) 571 011";info@bucavac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2022-02-03 09:38:51"
80;"Bukovlje d.o.o. za obavljanje komunalnih djelatnosti";11312927248;"Josipa Kozarca 20";35209;Bukovlje;"(+385 35) 276 049; (+385 99) 8073 041";;www.bukovlje.hr;opcina.bukovlje@gmail.com;"Miroslav Brblić";"(+385 35) 276 049";opcina.bukovlje@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-01-14 10:42:19"
81;"Buža d.o.o.";79654853311;"Centar 223";52203;Medulin;"(+385 52) 576 063";;www.buza.hr;buza@buza.hr;"Neno Lorencin";"(+385 52) 576 063";buza@buza.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2021-11-29 10:45:20"
82;"Caritasov dom za starije i nemoćne osobe Sv. Ivan Krstitelj Ivanec";79972954864;"Kukuljevićeva 8";42240;Ivanec;"(+385 42) 770 670";"(+385 42) 784 077";www.caritasov-dom-ivanec.hr;info@caritasov-dom-ivanec.hr;"Tomislav Jalšovec";"(+385 42) 770 670";ravnatelj@caritasov-dom-ivanec.hr;"Fizička ili privatna pravna osoba";Ustanove;"Socijalna zaštita";"2018-01-12 08:16:27"
83;"Castelier d.o.o.";42072384658;"Trgovačka 2";52215;Vodnjan;"(+385 52) 579 096";;www.castelier.hr;voditelj@castelier.hr;"Marina Divšić";"(+385 91) 2005 506";info@castelier.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Turizam;"2020-02-05 15:50:27"
84;"Castrum Pula 97 d.o.o.";62830233394;"Splitska 7";52100;Pula;"(+385 52) 535 710";"(+385 52) 215 029";www.castrum-pula.hr;info@castrum-pula.hr;"Cinzia Poceko Kranjec";"(+385 98) 209 556; (+385 52) 535 710";cinzia.poceko.kranjec@castrum-pula.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2018-02-08 12:58:30"
85;"CEKOM Brodogradnja d.o.o.";95960772932;"Trg Sv. Barbare 2";51000;Rijeka;"(+385 51) 209 590";;;tina.raguzin@rijeka.hr;"Tina Raguzin";"(+385 51) 209 590";tina.raguzin@rijeka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2020-02-10 13:35:50"
86;"Centar dr. Rudolfa Steinera";26594131791;"Prvomajska 4";40320;"Donji Kraljevec";"(+385 40) 655 612";"(+385 40) 655 612";www.centar-rudolf-steiner.com;info@centar-rudolf-steiner.com;"Dijana Posavec";"(+385 40) 655 612";info@centar-rudolf-steiner.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Poljoprivreda, šumarstvo i veterinarstvo";"2020-03-30 12:45:32"
87;"Centar kompetencija d.o.o. za istraživanje i razvoj";91571971823;"Ohridska 17";32100;Vinkovci;"(+385 32) 540 685";;www.cekom.hr;cekom@cekom.hr;"Bojan Balog";"(+385 99) 2254 740";balog@cekom.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2020-05-19 09:08:27"
88;"Centar kulture Kostrena";53006469471;"Sveta Lucija 38";51221;Kostrena;;;"www.ckk.hr (u izradi)";info@ckk.hr;"Borka Reljac";;borka.reljac@ckk.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-27 09:18:47"
89;"Centar kulture na Peščenici";03287241147;"Ivanićgradska 41a";10000;Zagreb;"(+385 1) 2303 122";"(+385 1) 2317 354";www.knap.hr;centar@knap.hr;"Anja Planinčić";"(+385 1) 2303 122";anja.planincic@knap.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-31 13:52:33"
90;"Centar Liče Faraguna Labin";52329630528;"Šćiri 3";52220;Labin;"(+385 052) 856 046";"(+385 52) 856 468";www.centar-licefaraguna-labin.skole.hr;ured@centar-licefaraguna-labin.skole.hr;"Eni Peršić Jakovašić";"(+385 52) 856 468";eni.persic-jakovasic@skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-01-14 09:03:11"
91;"Centar mladih Ribnjak";45058007791;"Park Ribnjak 1";10000;Zagreb;"(+385 1) 4814 734";"(+385 1) 4814 735";www.cmr.hr;cmr@cmr.hr;"Valentina Milković";"(+385 1) 4814 734";valentina.milkovic@cmr.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-02-04 11:06:11"
92;"Centar za autizam";63467332374;"Dvorničićeva 6";10000;Zagreb;"(+385 1) 2856 756";"(+385 1) 2856 756";www.autizam.hr;ured@centar-autizam-zg.skole.hr;"Kristina Marović";"(+385 1) 2853 717";ured@centar-autizam-zg.skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2018-05-30 08:19:43"
93;"Centar za autizam Osijek";34141287444;"Vinkovačka 3";31000;Osijek;"(+385 31) 201 850";"(+385 31) 215 610";www.coor-os.hr;ured@centar-autizam-os.skole.hr;"Zvonimir Borevac";"(+385 31) 201 850";zvonimir.borevac@skole.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2019-07-01 13:00:40"
94;"Centar za autizam Split";91941725029;"Rendićeva 6";21000;Split;"(+385 21) 384 135";"(+385 21) 384 135";www.cza-split.hr;tajnistvo@cza-split.hr;"Kristina Carić";"(+385 21) 384 135";tajnistvo@cza-split.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-01-21 15:49:14"
95;"Centar za cjeloživotno učenje i kulturu Bjelovar";23214866401;"Vladimira Nazora 5a";43000;Bjelovar;"(+385 43) 241 298";"(+385 43) 243 557";www.cuk.hr;info@cuk.hr;"Slobodan Kaličanin";"(+385 99) 5352 726";slobodan.kalicanin@cuk.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-01-10 14:49:26"
96;"Centar za djecu, mlade i obitelj Velika Gorica";09101061462;"Kurilovečka 48";10410;"Velika Gorica";"(+385 1) 6231 734";"(+385 1) 6231 735";www.centar-dmo-vg.hr;info@centar-dmo-vg.hr;"Dia Dobrinčić Korenjak";"(+385 1) 6231 734";dia.dobrincic.korenjak@centar-dmo-vg.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-02-01 14:55:05"
97;"Centar za gospodarenje otpadom Doline d.o.o.";87247650719;"Dr. Ante Starčevića 8";43000;Bjelovar;"(+385 43) 221 910";"(+385 43) 221 914";;mladen.marusic@bbz.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-02-09 10:51:46"
98;"Centar za gospodarenje otpadom Karlovačke županije KODOS d.o.o.";97544121118;"Jurja Križanića 30";47000;Karlovac;"(+385 47) 600 391";"(+385 47) 658 940";www.cgoka.hr;info@cgoka.hr;"Milan Matešić";"(+385 91) 4021 303";milan.matesic@cgoka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Zaštita okoliša i održivi razvoj";"2021-01-19 10:02:48"
99;"Centar za inovacije u hrani - INNOTECH d.o.o. za istraživanje i razvoj";87135860768;"Zrinski trg 1";48000;Koprivnica;;;;info@poduzetnik.info;;;;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2018-05-04 13:56:21"
100;"Centar za kliničku primjenu neuroznanosti";89040330336;"Šalata 10";10000;Zagreb;"(+385 1) 4596 868";"(+385 1) 4596 945";www.hiim.unizg.hr;judas@hiim.hr;;;gsedmak@hiim.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2021-05-18 08:20:18"
101;"Centar za kulturu Brač";37605651914;"Trg sv. Petra 1";21423;Nerežišća;"(+385 21) 637 092";"(+385 21) 637 093";www.czk-brac.hr;centar.za.kulturu.brac@st.t-com.hr;"Jasna Damjanović";"(+385 21) 637 092";centar.za.kulturu.brac@st.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-01-31 13:58:17"
102;"Centar za kulturu Čakovec";90436584362;"Trg Republike 3";40000;Čakovec;"(+385 40) 311 488";"(+385 40) 311 488";www.czk.cakovec.hr;info@czk-cakovec.hr;"Liljana Mučić";"(+385 40) 311 488";propaganda@czk-cakovec.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-01-23 12:50:50"
103;"Centar za kulturu Čazma";77577225503;"Trg Čazmanskog kaptola 13";43240;Čazma;"(+385 43) 771 037";"(+385 43) 771 052";www.muzej-cazma.hr;ck-cazma@inet.hr;"Jadranka Kruljac Sever";"(+385 43) 771 037";ck-cazma@inet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-11-11 10:21:16"
104;"Centar za kulturu Čepin - Knjižnica";21779657170;"Kralja Zvonimira 98";31431;Čepin;"(+385 31) 381 307";"(+385 31) 382 638";www.czk-cepin.hr;knjiznica@czk-cepin.hr;"Marija Čačić";"(+385 31) 382 638";knjiznica@czk-cepin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-21 18:01:20"
105;"Centar za kulturu Dr. Ivan Kostrenčić";14287213855;"Trg Stjepana Radića 3/III";51260;Crikvenica;"(+385 51) 615 628";;www.kultura-crikvenica.hr;ured@kultura-crikvenica.hr;"Sanja Škrgatić";;ured@kultura-crikvenica.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-05 15:00:47"
106;"Centar za kulturu Drago Britvić";60008389709;"Trg kralja Tomislava 2";33405;Pitomača;"(+385 98) 342 626";;www.pitomaca.hr;czkdragobritvic@gmail.com;"Hrvoje Filipović";;hrvoje.filipovic@pitomaca.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-04 08:32:21"
107;"Centar za kulturu Đakovo";99543603636;"Kralja Tomislava 13";31000;Đakovo;"(+385 31) 813 236";"(+385 31) 813 235";www.kultura-djakovo.com/czk/;centarzakulturudj@gmail.com;"Kristina Išasegi";"(+385 31) 815 147; (+385 98) 836 588";kristina.isasegi.czk@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-02-08 08:39:36"
108;"Centar za kulturu Đurđevac";40448499337;"Starogradska 21";48350;Đurđevac;"(+385 48) 812 230";;;centar.za.kulturu@kc.htnet.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-07-03 09:46:06"
109;"Centar za kulturu Grada Belog Manastira";30861820867;"Kralja Tomislava 2";31300;"Beli Manastir";"(+385 31) 701 214";"(+385 31) 701 268";www.beli-manastir.hr;czk.belimanastir@gmail.com;"Edo Jurić";"(+385 31) 701 214";czk.belimanastir@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
110;"Centar za kulturu Grada Krka";68387206426;"Trg Svetog Kvirina 1";51500;Krk;"(+385 51) 220 041";"(+385 51) 220 041";www.grad-krk.hr/kultura/centar-za-kulturu;kultura@gradkrk.net;"Igor Gržetić";"(+385 51) 220 041";kultura@gradkrk.net;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-28 13:13:27"
111;"Centar za kulturu Grada Novalje";50607245751;"Dalmatinska 16";53291;Novalja;"(+385 53) 661 013";;www.centar.novalja.hr;centar.novalja@gmail.com;"Dražen Peranić";"(+385 95) 3910 368";centar.novalja@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-16 08:28:34"
112;"Centar za kulturu Grada Novog Vinodolskog";14859872348;"Korzo hrvatskih branitelja 2";51520;"Novi Vinodolski";"(+385 51) 244 782; (+385 91) 1856 411";"(+385 51) 244 782";;centarnv@optinet.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-07-03 09:49:33"
113;"Centar za kulturu i baštinu Grada Vrgorca";18215995000;"A.G. Matoša 1";21276;Vrgorac;"(+385 21) 674 031";;;grad@vrgorac.hr;"Žana Pervan-Odak";"(+385 98) 607 127";ravnateljica@ckb-vrgorac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-17 13:50:02"
114;"Centar za kulturu i cjeloživotno obrazovanje Zlatna vrata";11212817374;"Dioklecijanova 7";21000;Split;"(+385 21) 361 524";"(+385 21) 361 201";www.zlatnavrata.hr;info@zlatnavrata.hr;"Ljiljana Karoglan";"(+385 21) 351 524";info@zlatnavrata.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-07 13:56:26"
115;"Centar za kulturu i film Augusta Cesarca";89479352022;"Ilica 227";10000;Zagreb;"(+385 1) 3758 105";"(+385 1) 3775 035";www.centarcesarec.hr;ravnatelj@centarcesarec.hr;"Snježana Samardžić";"(+385 1) 3758 105";ckfac@inet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-31 09:48:46"
116;"Centar za kulturu i informacije Maksimir";31407932125;"Švarcova 18";10000;Zagreb;"(+385 1) 2442 193";"(+385 1) 2441 566";www.mojmaksimir.com;cki-m@cki-m.com;"Veselko Marić";"(+385 91) 2044 215";maricveso@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-01-23 11:02:15"
117;"Centar za kulturu i informacije Pag";24796583603;"Ulica Od Špitala 2";23250;Pag;"(+385 23) 611 025";"(+385 23) 600 224";www.pag-centar.hr;"pag.centar@gmail.com; info@pag-centar.hr";;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-07-03 10:31:43"
118;"Centar za kulturu i informiranje dr. Franjo Tuđman";13211184887;"Ivana Nepomuka Jemeršića 1";43290;"Grubišno Polje";;;www.cikdft.hr;cikgrubisnopolje@gmail.com;"Ljubica Krajačić";"(+385 43) 448 070";kambermarina0@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2020-02-12 14:05:46"
119;"Centar za kulturu i informiranje Dragutin Novak Ludbreg";72149749030;"Trg sv. Trojstva 19";42230;Ludbreg;"(+385 42) 810 441";"(+385 42) 306 068";www.czkidn.hr;info@czkidn.hr;"Branko Dijanošić";"(+385 42) 810 441";tajnistvo@czkidn.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-07-03 09:08:50"
120;"Centar za kulturu i obrazovanje Susedgrad";29788970628;"Argentinska 5";10090;Zagreb-Susedgrad;"(+385 1) 3452 722";"(+385 1) 3452 161";www.czkio-susedgrad.hr;info@czkio-susedgrad.hr;"Maša Kundid";"(+385 1) 3452 722";info@czkio-susedgrad.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-20 13:41:07"
121;"Centar za kulturu Jastrebarsko";86460859764;"Dr. Franje Tuđmana 9";10450;Jastrebarsko;"(+385 1) 6281 126";"(+385 1) 6281 126";www.czk-jastrebarsko.hr;info@czk-jastrebarsko.hr;"Marko Savić";"(+385 1) 6281 126";knjiznica@czk-jastrebarsko.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-03-22 10:20:51"
122;"Centar za kulturu Katarina Zrinski";54508617514;"Bribir 31";51253;Bribir;;;;opcina-vinodolska@ri.t-com.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-07-03 09:59:11"
123;"Centar za kulturu Korčula";79189173845;"Obala korčulanskih brodograditelja b.b.";20260;Korčula;"(+385 20) 716 529";"(+385 20) 716 529";www.kulturakorcula.hr;kultura@kulturakorcula.hr;"Lana Filippi Brkić";"(+385 20) 716 529";kultura@kulturakorcula.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";
124;"Centar za kulturu Lopar";40433737745;"Lopar 284";51281;Lopar;"(+385 51) 775 392";"(+385 51) 775 392";www.opcina-lopar.hr;czk@lopar.com;"Tonka Kavran";"(+385 99) 8140 712";czk@lopar.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-05 11:14:39"
125;"Centar za kulturu Milna";88734496519;"Sridnja kala 3";21405;Milna;"(+385 99) 6830 305; (+385 99) 3303 536";"(+385 21) 636 297";;czk@milna.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-28 11:30:01"
126;"Centar za kulturu Novi Zagreb";74794965060;"Trg Narodne zaštite 2";10000;Zagreb;"(+385 1) 6140 189; (+385 1) 6140 190";"(+385 1) 6140 189; (+385 1) 6140 190";www.czk-novi-zagreb.hr;czk@czk-novi-zagreb.hr;"Silvana Kos";"(+385 1) 6140 189";tajnistvo@czk-novi-zagreb.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2016-02-15 14:02:01"
127;"Centar za kulturu Omiš";09551384979;"Ulica Punta 1";21310;Omiš;"(+385 21) 559 400";;www.czk-omis.hr;czk-omis@st.t-com.hr;"Jelena Staničić";"(+385 21) 559 400";jelena.stanicic@omis.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-14 10:42:30"
128;"Centar za kulturu Općine Bol";44118747392;"Frane Radića 18";21420;Bol;"(+385 21) 635 140";;;centar.za.kulturu.bol@gmail.com;"Zorana Marinković";"(+385 21) 635 140";opcina.bol@st.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-12-17 14:11:35"
129;"Centar za kulturu Općine Podstrana";42191507337;"Trg Dr. Franje Tuđmana 3";21312;Podstrana;"(+385 21) 330 300";"(+385 21) 330 271";;bozen.zivaljic@podstrana.hr;"Božen Živaljić";;bozen.zivaljic@podstrana.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-18 14:01:11"
130;"Centar za kulturu Sigmund Romberg";45737683727;"Kralja Tomislava 194";31551;Belišće;"(+385 31) 533 274";"(+385 31) 533 274";www.cks-romberg.hr;ravnateljica@cks-romberg.hr;"Tea Kozina";"(+385 31) 533 274";ravnateljica@cks-romberg.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-14 12:40:16"
131;"Centar za kulturu Trešnjevka";51680110311;"Park stara Trešnjevka 1";10000;Zagreb;"(+385 1) 3027 411";"(+385 1) 3024 193";www.cekate.hr;info@cekate.hr;"Ana Marija Meniss";"(+385 1) 3027 411";ameniss@cekate.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2021-01-20 10:40:23"
132;"Centar za kulturu Vela Luka";51876693841;"Ulica 26 br. 2";20270;"Vela Luka";"(+385 20) 813 602";;www.czkvl.hr;czk-gmsu@velaluka.hr;"Rada Dragojević Ćosović";"(+385 20) 813 602";czk-gmsu@velaluka.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-24 08:31:02"
